SMILES,EC50-le-10um
Cc1ccc2S\C(=C/c3sc4ccccc4[n+]3C)\N(CCO)c2c1,0
CN1\C(=C\c2sc3ccccc3[n+]2CCO)\Sc4ccc(C)cc14,0
Cc1ccc2N(CCO)\C(=C\c3sc4ccccc4[n+]3C)\Sc2c1,0
C[n+]1c(\C=C\2/C=CC=CN2CC=C)sc3ccccc13,0
CN1\C(=C\c2sc3ccccc3[n+]2C)\C=Cc4cc(C)ccc14,1
CCN1C=CC(=Cc2sc3ccccc3[n+]2CC=C)C=C1,0
CC[n+]1c(\C=C\2/C=CC=CN2CC=C)sc3ccccc13,0
CCCCCCCN1C=CC(=N)C=C1,0
CC(C)c1ccc(NC(=O)\C=C\c2ccccc2Cl)cc1,0
CCOc1cc2CCNC(c3cc(Cl)ccc3O)c2cc1OCC,0
C[N+](C)(C)c1nc(nc(n1)N2CCOCC2)N(c3ccccc3)c4ccccc4,0
CCOc1cc2CCNC(c3cc(C)c(O)c(C)c3)c2cc1OCC,0
CC(C)(C)C(=O)N1CCN(CC1)c2ccc(c(NC3CC3)c2)[N+](=O)[O-],0
Oc1ccc(cc1Cl)C2NCc3ccccc3n4cccc24,0
CCOC(=O)c1cnc2c(OC)cccc2c1Nc3ccc(OC)c(OC)c3,0
COc1ccc(cc1OC)C2CC(=O)C3=C(C2)NC(=O)CC3c4ccc(Br)cc4,0
COc1ccc(cc1OC)C2CC(=O)N=C3CC(CC(=O)C23)c4ccc(F)cc4,0
COc1ccc(cc1OC)C2CC(=O)C3=C(C2)NC(=O)CC3c4ccc(cc4)C(F)(F)F,0
CCOc1cc(ccc1O)C2CC(=O)N=C3CC(CC(=O)C23)c4cc(OC)ccc4OC,0
COc1cc(cc(Br)c1O)C2CC(=O)N=C3CC(CC(=O)C23)c4ccccc4Cl,0
CCOc1cc(cc(Cl)c1O)C2CC(=O)N=C3CC(CC(=O)C23)c4ccc(OC)cc4,0
COc1ccc(cc1)C2CC(=O)C3=C(C2)NC(=O)CC3c4ccc(OC)c(OC)c4,0
